"","everwrk","age_p","r_maritl"
"2382","2 No",56,"1 Married - spouse in household"
"2383","1 Yes",36,"1 Married - spouse in household"
"2384","1 Yes",71,"4 Widowed"
"2385","1 Yes",59,"7 Never married"
"2386","1 Yes",42,"7 Never married"
"2387","1 Yes",30,"7 Never married"
"2388","2 No",23,"8 Living with partner"
"2389","1 Yes",47,"7 Never married"
"2390","1 Yes",85,"4 Widowed"
"2391","2 No",25,"1 Married - spouse in household"
"2392","1 Yes",55,"5 Divorced"
"2393","1 Yes",68,"4 Widowed"
"2394","1 Yes",44,"7 Never married"
"2395","1 Yes",28,"7 Never married"
"2396","1 Yes",82,"5 Divorced"
"2397","1 Yes",54,"1 Married - spouse in household"
"2398","1 Yes",66,"1 Married - spouse in household"
"2399","2 No",28,"1 Married - spouse in household"
"2400","2 No",48,"1 Married - spouse in household"
"2401","1 Yes",70,"4 Widowed"
"2402","1 Yes",44,"8 Living with partner"
"2403","1 Yes",44,"1 Married - spouse in household"
"2404","2 No",62,"5 Divorced"
"2405","1 Yes",63,"1 Married - spouse in household"
"2406","1 Yes",29,"7 Never married"
"2407","1 Yes",20,"7 Never married"
"2408","1 Yes",20,"7 Never married"
"2409","1 Yes",20,"7 Never married"
"2410","2 No",27,"7 Never married"
"2411","1 Yes",31,"7 Never married"
"2412","1 Yes",43,"6 Separated"
"2413","1 Yes",60,"7 Never married"
"2414","1 Yes",85,"7 Never married"
"2415","1 Yes",58,"5 Divorced"
"2416","1 Yes",45,"5 Divorced"
"2417","1 Yes",27,"6 Separated"
"2418","1 Yes",53,"8 Living with partner"
"2419","2 No",49,"5 Divorced"
"2420","2 No",30,"6 Separated"
"2421","1 Yes",32,"8 Living with partner"
"2422","2 No",61,"4 Widowed"
"2423","1 Yes",31,"1 Married - spouse in household"
"2424","1 Yes",78,"1 Married - spouse in household"
"2425","1 Yes",37,"7 Never married"
"2426","2 No",50,"6 Separated"
"2427","1 Yes",42,"1 Married - spouse in household"
"2428","1 Yes",68,"1 Married - spouse in household"
"2429","1 Yes",40,"1 Married - spouse in household"
"2430","1 Yes",73,"1 Married - spouse in household"
"2431","1 Yes",37,"1 Married - spouse in household"
"2432","2 No",28,"1 Married - spouse in household"
"2433","2 No",42,"1 Married - spouse in household"
"2434","1 Yes",47,"6 Separated"
"2435","1 Yes",69,"4 Widowed"
"2436","1 Yes",53,"5 Divorced"
"2437","1 Yes",37,"1 Married - spouse in household"
"2438","1 Yes",46,"5 Divorced"
"2439","1 Yes",49,"2 Married - spouse not in household"
"2440","1 Yes",50,"1 Married - spouse in household"
"2441","1 Yes",28,"7 Never married"
"2442","2 No",36,"1 Married - spouse in household"
"2443","1 Yes",38,"1 Married - spouse in household"
"2444","1 Yes",84,"4 Widowed"
"2445","1 Yes",69,"4 Widowed"
"2446","1 Yes",53,"1 Married - spouse in household"
"2447","1 Yes",20,"7 Never married"
"2448","1 Yes",48,"6 Separated"
"2449","2 No",55,"1 Married - spouse in household"
"2450","1 Yes",36,"1 Married - spouse in household"
"2451","1 Yes",57,"4 Widowed"
"2452","2 No",66,"8 Living with partner"
"2453","1 Yes",31,"1 Married - spouse in household"
"2454","1 Yes",64,"4 Widowed"
"2455","1 Yes",85,"4 Widowed"
"2456","1 Yes",65,"5 Divorced"
"2457","1 Yes",19,"7 Never married"
"2458","1 Yes",64,"5 Divorced"
"2459","1 Yes",51,"1 Married - spouse in household"
"2460","1 Yes",57,"1 Married - spouse in household"
"2461","1 Yes",49,"8 Living with partner"
"2462","1 Yes",45,"1 Married - spouse in household"
"2463","1 Yes",54,"7 Never married"
"2464","1 Yes",61,"1 Married - spouse in household"
"2465","1 Yes",29,"1 Married - spouse in household"
"2466","2 No",43,"5 Divorced"
"2467","1 Yes",44,"7 Never married"
"2468","1 Yes",55,"1 Married - spouse in household"
"2469","1 Yes",43,"8 Living with partner"
"2470","1 Yes",62,"1 Married - spouse in household"
"2471","1 Yes",43,"6 Separated"
"2472","1 Yes",28,"1 Married - spouse in household"
"2473","1 Yes",45,"1 Married - spouse in household"
"2474","1 Yes",31,"1 Married - spouse in household"
"2475","1 Yes",77,"4 Widowed"
"2476","1 Yes",70,"1 Married - spouse in household"
"2477","1 Yes",37,"1 Married - spouse in household"
"2478","1 Yes",41,"5 Divorced"
"2479","2 No",29,"7 Never married"
"2480","1 Yes",30,"7 Never married"
"2481","1 Yes",71,"4 Widowed"
"2482","1 Yes",59,"1 Married - spouse in household"
"2483","1 Yes",43,"1 Married - spouse in household"
"2484","1 Yes",53,"7 Never married"
"2485","1 Yes",34,"7 Never married"
"2486","1 Yes",18,"7 Never married"
"2487","1 Yes",36,"7 Never married"
"2488","2 No",40,"8 Living with partner"
"2489","1 Yes",66,"1 Married - spouse in household"
"2490","2 No",37,"1 Married - spouse in household"
"2491","1 Yes",64,"5 Divorced"
"2492","1 Yes",60,"7 Never married"
"2493","1 Yes",32,"8 Living with partner"
"2494","1 Yes",85,"5 Divorced"
"2495","2 No",37,"1 Married - spouse in household"
"2496","1 Yes",79,"4 Widowed"
"2497","1 Yes",65,"1 Married - spouse in household"
"2498","1 Yes",85,"4 Widowed"
"2499","2 No",38,"6 Separated"
"2500","1 Yes",48,"7 Never married"
"2501","1 Yes",57,"1 Married - spouse in household"
"2502","1 Yes",36,"1 Married - spouse in household"
"2503","1 Yes",47,"1 Married - spouse in household"
"2504","1 Yes",57,"7 Never married"
"2505","2 No",22,"7 Never married"
"2506","2 No",76,"1 Married - spouse in household"
"2507","1 Yes",44,"7 Never married"
"2508","1 Yes",75,"4 Widowed"
"2509","1 Yes",61,"2 Married - spouse not in household"
"2510","1 Yes",67,"7 Never married"
"2511","1 Yes",25,"8 Living with partner"
"2512","1 Yes",58,"5 Divorced"
"2513","1 Yes",57,"6 Separated"
"2514","1 Yes",68,"7 Never married"
"2515","1 Yes",39,"1 Married - spouse in household"
"2516","1 Yes",72,"1 Married - spouse in household"
"2517","1 Yes",85,"4 Widowed"
"2518","1 Yes",40,"1 Married - spouse in household"
"2519","2 No",60,"1 Married - spouse in household"
"2520","1 Yes",77,"5 Divorced"
"2521","1 Yes",65,"1 Married - spouse in household"
"2522","1 Yes",33,"1 Married - spouse in household"
"2523","1 Yes",48,"5 Divorced"
"2524","1 Yes",80,"4 Widowed"
"2525","1 Yes",41,"6 Separated"
"2526","1 Yes",43,"1 Married - spouse in household"
"2527","2 No",29,"1 Married - spouse in household"
"2528","2 No",56,"9 Unknown marital status"
"2529","1 Yes",26,"7 Never married"
"2530","2 No",49,"7 Never married"
"2531","1 Yes",30,"8 Living with partner"
"2532","1 Yes",40,"5 Divorced"
"2533","1 Yes",61,"7 Never married"
"2534","2 No",74,"4 Widowed"
"2535","1 Yes",80,"5 Divorced"
"2536","2 No",26,"1 Married - spouse in household"
"2537","1 Yes",59,"4 Widowed"
"2538","1 Yes",37,"7 Never married"
"2539","1 Yes",49,"1 Married - spouse in household"
"2540","2 No",51,"1 Married - spouse in household"
"2541","2 No",85,"9 Unknown marital status"
"2542","1 Yes",25,"7 Never married"
"2543","1 Yes",55,"1 Married - spouse in household"
"2544","2 No",20,"7 Never married"
"2545","1 Yes",34,"1 Married - spouse in household"
"2546","1 Yes",23,"5 Divorced"
"2547","1 Yes",40,"1 Married - spouse in household"
"2548","1 Yes",28,"1 Married - spouse in household"
"2549","1 Yes",18,"8 Living with partner"
"2550","1 Yes",35,"1 Married - spouse in household"
"2551","1 Yes",56,"1 Married - spouse in household"
"2552","1 Yes",43,"1 Married - spouse in household"
"2553","2 No",85,"4 Widowed"
"2554","1 Yes",65,"4 Widowed"
"2555","1 Yes",71,"1 Married - spouse in household"
"2556","1 Yes",33,"6 Separated"
"2557","1 Yes",56,"5 Divorced"
"2558","1 Yes",35,"1 Married - spouse in household"
"2559","2 No",37,"1 Married - spouse in household"
"2560","2 No",30,"7 Never married"
"2561","1 Yes",56,"1 Married - spouse in household"
"2562","1 Yes",72,"1 Married - spouse in household"
"2563","1 Yes",66,"7 Never married"
"2564","1 Yes",21,"7 Never married"
"2565","1 Yes",21,"7 Never married"
"2566","1 Yes",31,"7 Never married"
"2567","1 Yes",25,"8 Living with partner"
"2568","2 No",44,"1 Married - spouse in household"
"2569","1 Yes",75,"1 Married - spouse in household"
"2570","2 No",18,"7 Never married"
"2571","1 Yes",83,"4 Widowed"
"2572","1 Yes",38,"1 Married - spouse in household"
"2573","1 Yes",57,"5 Divorced"
"2574","2 No",73,"1 Married - spouse in household"
"2575","1 Yes",68,"1 Married - spouse in household"
"2576","1 Yes",43,"1 Married - spouse in household"
"2577","1 Yes",43,"1 Married - spouse in household"
"2578","1 Yes",78,"1 Married - spouse in household"
"2579","1 Yes",82,"1 Married - spouse in household"
"2580","1 Yes",49,"1 Married - spouse in household"
"2581","1 Yes",62,"8 Living with partner"
"2582","2 No",25,"7 Never married"
"2583","2 No",75,"4 Widowed"
"2584","1 Yes",82,"4 Widowed"
"2585","1 Yes",44,"5 Divorced"
"2586","1 Yes",30,"8 Living with partner"
"2587","1 Yes",62,"1 Married - spouse in household"
"2588","1 Yes",29,"7 Never married"
"2589","1 Yes",57,"6 Separated"
"2590","1 Yes",51,"1 Married - spouse in household"
"2591","1 Yes",84,"4 Widowed"
"2592","1 Yes",60,"1 Married - spouse in household"
"2593","2 No",34,"5 Divorced"
"2594","1 Yes",50,"1 Married - spouse in household"
"2595","1 Yes",26,"7 Never married"
"2596","1 Yes",79,"4 Widowed"
"2597","1 Yes",40,"7 Never married"
"2598","2 No",30,"7 Never married"
"2599","1 Yes",59,"5 Divorced"
"2600","1 Yes",27,"7 Never married"
"2601","1 Yes",73,"4 Widowed"
"2602","1 Yes",25,"8 Living with partner"
"2603","1 Yes",52,"1 Married - spouse in household"
"2604","1 Yes",79,"5 Divorced"
"2605","1 Yes",20,"7 Never married"
"2606","1 Yes",32,"1 Married - spouse in household"
"2607","1 Yes",30,"1 Married - spouse in household"
"2608","1 Yes",44,"1 Married - spouse in household"
"2609","1 Yes",48,"1 Married - spouse in household"
"2610","1 Yes",85,"4 Widowed"
"2611","1 Yes",30,"8 Living with partner"
"2612","1 Yes",27,"1 Married - spouse in household"
"2613","1 Yes",70,"4 Widowed"
"2614","1 Yes",76,"7 Never married"
"2615","2 No",85,"4 Widowed"
"2616","1 Yes",55,"1 Married - spouse in household"
"2617","1 Yes",72,"1 Married - spouse in household"
"2618","1 Yes",68,"4 Widowed"
"2619","2 No",33,"1 Married - spouse in household"
"2620","1 Yes",23,"8 Living with partner"
"2621","1 Yes",22,"7 Never married"
"2622","1 Yes",23,"7 Never married"
"2623","2 No",21,"7 Never married"
"2624","1 Yes",72,"1 Married - spouse in household"
"2625","1 Yes",25,"8 Living with partner"
"2626","1 Yes",47,"8 Living with partner"
"2627","1 Yes",26,"7 Never married"
"2628","1 Yes",37,"1 Married - spouse in household"
"2629","1 Yes",67,"4 Widowed"
"2630","1 Yes",81,"1 Married - spouse in household"
"2631","1 Yes",30,"7 Never married"
"2632","1 Yes",44,"8 Living with partner"
"2633","2 No",30,"1 Married - spouse in household"
"2634","2 No",34,"7 Never married"
"2635","1 Yes",44,"1 Married - spouse in household"
"2636","1 Yes",31,"1 Married - spouse in household"
"2637","1 Yes",48,"7 Never married"
"2638","1 Yes",70,"5 Divorced"
"2639","1 Yes",54,"2 Married - spouse not in household"
"2640","1 Yes",40,"5 Divorced"
"2641","2 No",42,"1 Married - spouse in household"
"2642","1 Yes",48,"1 Married - spouse in household"
"2643","1 Yes",56,"5 Divorced"
"2644","1 Yes",85,"4 Widowed"
"2645","1 Yes",69,"4 Widowed"
"2646","1 Yes",62,"1 Married - spouse in household"
"2647","1 Yes",53,"6 Separated"
"2648","1 Yes",33,"7 Never married"
"2649","1 Yes",31,"1 Married - spouse in household"
"2650","2 No",25,"8 Living with partner"
"2651","1 Yes",35,"1 Married - spouse in household"
"2652","1 Yes",34,"1 Married - spouse in household"
"2653","1 Yes",34,"1 Married - spouse in household"
"2654","1 Yes",44,"1 Married - spouse in household"
"2655","1 Yes",59,"5 Divorced"
"2656","1 Yes",27,"1 Married - spouse in household"
"2657","1 Yes",64,"1 Married - spouse in household"
"2658","1 Yes",58,"1 Married - spouse in household"
"2659","1 Yes",20,"7 Never married"
"2660","1 Yes",73,"1 Married - spouse in household"
"2661","1 Yes",44,"7 Never married"
"2662","1 Yes",51,"1 Married - spouse in household"
"2663","1 Yes",62,"5 Divorced"
"2664","1 Yes",26,"7 Never married"
"2665","1 Yes",27,"7 Never married"
"2666","1 Yes",66,"5 Divorced"
"2667","1 Yes",64,"1 Married - spouse in household"
"2668","1 Yes",18,"7 Never married"
"2669","1 Yes",57,"1 Married - spouse in household"
"2670","1 Yes",55,"1 Married - spouse in household"
"2671","1 Yes",43,"7 Never married"
"2672","1 Yes",56,"7 Never married"
"2673","1 Yes",52,"7 Never married"
"2674","1 Yes",28,"7 Never married"
"2675","1 Yes",26,"7 Never married"
"2676","1 Yes",34,"1 Married - spouse in household"
"2677","1 Yes",68,"1 Married - spouse in household"
"2678","1 Yes",64,"1 Married - spouse in household"
"2679","1 Yes",69,"7 Never married"
"2680","2 No",25,"1 Married - spouse in household"
"2681","1 Yes",44,"8 Living with partner"
"2682","2 No",31,"7 Never married"
"2683","1 Yes",52,"1 Married - spouse in household"
"2684","1 Yes",34,"6 Separated"
"2685","1 Yes",60,"1 Married - spouse in household"
"2686","1 Yes",62,"5 Divorced"
"2687","1 Yes",48,"1 Married - spouse in household"
"2688","1 Yes",85,"1 Married - spouse in household"
"2689","2 No",73,"1 Married - spouse in household"
"2690","1 Yes",45,"1 Married - spouse in household"
"2691","1 Yes",56,"8 Living with partner"
"2692","1 Yes",56,"1 Married - spouse in household"
"2693","1 Yes",82,"4 Widowed"
"2694","1 Yes",37,"7 Never married"
"2695","1 Yes",65,"5 Divorced"
"2696","1 Yes",42,"6 Separated"
"2697","1 Yes",45,"1 Married - spouse in household"
"2698","1 Yes",37,"1 Married - spouse in household"
"2699","1 Yes",43,"7 Never married"
"2700","1 Yes",71,"5 Divorced"
"2701","1 Yes",69,"1 Married - spouse in household"
"2702","1 Yes",56,"7 Never married"
"2703","1 Yes",63,"5 Divorced"
"2704","1 Yes",38,"7 Never married"
"2705","1 Yes",44,"7 Never married"
"2706","1 Yes",50,"8 Living with partner"
"2707","1 Yes",44,"1 Married - spouse in household"
"2708","1 Yes",33,"7 Never married"
"2709","1 Yes",62,"1 Married - spouse in household"
"2710","1 Yes",48,"5 Divorced"
"2711","1 Yes",63,"6 Separated"
"2712","1 Yes",73,"1 Married - spouse in household"
"2713","1 Yes",33,"7 Never married"
"2714","1 Yes",75,"1 Married - spouse in household"
"2715","1 Yes",38,"5 Divorced"
"2716","2 No",27,"7 Never married"
"2717","1 Yes",43,"1 Married - spouse in household"
"2718","1 Yes",38,"1 Married - spouse in household"
"2719","1 Yes",28,"1 Married - spouse in household"
"2720","1 Yes",40,"1 Married - spouse in household"
"2721","1 Yes",69,"7 Never married"
"2722","1 Yes",85,"4 Widowed"
"2723","2 No",29,"1 Married - spouse in household"
"2724","1 Yes",26,"7 Never married"
"2725","1 Yes",36,"5 Divorced"
"2726","1 Yes",30,"1 Married - spouse in household"
"2727","2 No",41,"1 Married - spouse in household"
"2728","1 Yes",62,"5 Divorced"
"2729","1 Yes",61,"1 Married - spouse in household"
"2730","1 Yes",29,"1 Married - spouse in household"
"2731","1 Yes",54,"1 Married - spouse in household"
"2732","1 Yes",32,"1 Married - spouse in household"
"2733","1 Yes",34,"7 Never married"
"2734","1 Yes",32,"7 Never married"
"2735","1 Yes",25,"8 Living with partner"
"2736","1 Yes",85,"4 Widowed"
"2737","1 Yes",32,"7 Never married"
"2738","1 Yes",83,"5 Divorced"
"2739","1 Yes",59,"5 Divorced"
"2740","1 Yes",66,"1 Married - spouse in household"
"2741","1 Yes",77,"1 Married - spouse in household"
"2742","2 No",40,"5 Divorced"
"2743","1 Yes",33,"8 Living with partner"
"2744","1 Yes",66,"1 Married - spouse in household"
"2745","1 Yes",24,"7 Never married"
"2746","1 Yes",61,"5 Divorced"
"2747","1 Yes",50,"7 Never married"
"2748","1 Yes",44,"1 Married - spouse in household"
"2749","1 Yes",75,"4 Widowed"
"2750","2 No",24,"7 Never married"
"2751","1 Yes",61,"1 Married - spouse in household"
"2752","1 Yes",44,"4 Widowed"
"2753","1 Yes",32,"8 Living with partner"
"2754","1 Yes",27,"7 Never married"
"2755","1 Yes",52,"6 Separated"
"2756","1 Yes",47,"1 Married - spouse in household"
"2757","1 Yes",52,"5 Divorced"
"2758","1 Yes",36,"7 Never married"
"2759","1 Yes",60,"1 Married - spouse in household"
"2760","1 Yes",41,"1 Married - spouse in household"
"2761","1 Yes",38,"6 Separated"
"2762","1 Yes",85,"7 Never married"
"2763","1 Yes",41,"8 Living with partner"
"2764","1 Yes",37,"6 Separated"
"2765","1 Yes",48,"6 Separated"
"2766","1 Yes",60,"4 Widowed"
"2767","1 Yes",47,"1 Married - spouse in household"
"2768","2 No",40,"1 Married - spouse in household"
"2769","1 Yes",58,"1 Married - spouse in household"
"2770","1 Yes",64,"1 Married - spouse in household"
"2771","1 Yes",24,"5 Divorced"
"2772","1 Yes",59,"1 Married - spouse in household"
"2773","1 Yes",64,"1 Married - spouse in household"
"2774","1 Yes",47,"5 Divorced"
"2775","1 Yes",20,"7 Never married"
"2776","1 Yes",37,"5 Divorced"
"2777","1 Yes",68,"5 Divorced"
"2778","1 Yes",39,"1 Married - spouse in household"
"2779","1 Yes",53,"7 Never married"
"2780","7 Refused",50,"1 Married - spouse in household"
"2781","1 Yes",67,"1 Married - spouse in household"
"2782","1 Yes",69,"4 Widowed"
"2783","1 Yes",19,"7 Never married"
"2784","1 Yes",32,"1 Married - spouse in household"
"2785","1 Yes",60,"1 Married - spouse in household"
"2786","1 Yes",37,"1 Married - spouse in household"
"2787","1 Yes",39,"1 Married - spouse in household"
"2788","1 Yes",44,"1 Married - spouse in household"
"2789","1 Yes",66,"1 Married - spouse in household"
"2790","1 Yes",44,"1 Married - spouse in household"
"2791","1 Yes",78,"1 Married - spouse in household"
"2792","1 Yes",68,"1 Married - spouse in household"
"2793","1 Yes",19,"7 Never married"
"2794","1 Yes",31,"2 Married - spouse not in household"
"2795","1 Yes",72,"4 Widowed"
"2796","1 Yes",56,"1 Married - spouse in household"
"2797","1 Yes",85,"1 Married - spouse in household"
"2798","1 Yes",33,"1 Married - spouse in household"
"2799","1 Yes",25,"7 Never married"
"2800","1 Yes",53,"5 Divorced"
"2801","1 Yes",32,"1 Married - spouse in household"
"2802","2 No",41,"7 Never married"
"2803","1 Yes",71,"1 Married - spouse in household"
"2804","1 Yes",57,"7 Never married"
"2805","1 Yes",28,"7 Never married"
"2806","1 Yes",47,"6 Separated"
"2807","1 Yes",68,"5 Divorced"
"2808","1 Yes",64,"5 Divorced"
"2809","1 Yes",69,"4 Widowed"
"2810","1 Yes",60,"1 Married - spouse in household"
"2811","1 Yes",41,"7 Never married"
"2812","1 Yes",45,"7 Never married"
"2813","1 Yes",60,"1 Married - spouse in household"
"2814","1 Yes",37,"7 Never married"
"2815","1 Yes",40,"6 Separated"
"2816","1 Yes",49,"1 Married - spouse in household"
"2817","1 Yes",45,"1 Married - spouse in household"
"2818","1 Yes",64,"4 Widowed"
"2819","1 Yes",85,"4 Widowed"
"2820","1 Yes",58,"1 Married - spouse in household"
"2821","1 Yes",85,"6 Separated"
"2822","1 Yes",85,"4 Widowed"
"2823","1 Yes",60,"4 Widowed"
"2824","1 Yes",66,"6 Separated"
"2825","1 Yes",56,"1 Married - spouse in household"
"2826","1 Yes",71,"4 Widowed"
"2827","1 Yes",25,"7 Never married"
"2828","1 Yes",25,"7 Never married"
"2829","1 Yes",19,"7 Never married"
"2830","1 Yes",57,"1 Married - spouse in household"
"2831","2 No",27,"7 Never married"
"2832","2 No",48,"1 Married - spouse in household"
"2833","1 Yes",38,"1 Married - spouse in household"
"2834","1 Yes",42,"1 Married - spouse in household"
"2835","1 Yes",23,"8 Living with partner"
"2836","1 Yes",55,"5 Divorced"
"2837","1 Yes",55,"1 Married - spouse in household"
"2838","1 Yes",38,"8 Living with partner"
"2839","1 Yes",42,"6 Separated"
"2840","1 Yes",32,"8 Living with partner"
"2841","1 Yes",64,"7 Never married"
"2842","1 Yes",62,"5 Divorced"
"2843","2 No",28,"1 Married - spouse in household"
"2844","1 Yes",62,"4 Widowed"
"2845","1 Yes",37,"8 Living with partner"
"2846","1 Yes",61,"1 Married - spouse in household"
"2847","1 Yes",33,"1 Married - spouse in household"
"2848","2 No",28,"8 Living with partner"
"2849","1 Yes",59,"5 Divorced"
"2850","1 Yes",29,"1 Married - spouse in household"
"2851","1 Yes",42,"6 Separated"
"2852","1 Yes",66,"1 Married - spouse in household"
"2853","1 Yes",58,"5 Divorced"
"2854","2 No",64,"1 Married - spouse in household"
"2855","2 No",29,"2 Married - spouse not in household"
"2856","1 Yes",61,"1 Married - spouse in household"
"2857","2 No",31,"1 Married - spouse in household"
"2858","1 Yes",19,"7 Never married"
"2859","1 Yes",19,"7 Never married"
"2860","1 Yes",59,"1 Married - spouse in household"
"2861","1 Yes",85,"4 Widowed"
"2862","2 No",32,"1 Married - spouse in household"
"2863","1 Yes",18,"7 Never married"
"2864","1 Yes",50,"8 Living with partner"
"2865","1 Yes",72,"1 Married - spouse in household"
"2866","1 Yes",31,"1 Married - spouse in household"
"2867","1 Yes",50,"1 Married - spouse in household"
"2868","1 Yes",25,"8 Living with partner"
"2869","1 Yes",30,"7 Never married"
"2870","1 Yes",46,"7 Never married"
"2871","1 Yes",33,"6 Separated"
"2872","1 Yes",22,"7 Never married"
"2873","2 No",21,"7 Never married"
"2874","1 Yes",20,"7 Never married"
"2875","1 Yes",33,"1 Married - spouse in household"
"2876","1 Yes",66,"1 Married - spouse in household"
"2877","1 Yes",58,"1 Married - spouse in household"
"2878","1 Yes",54,"7 Never married"
"2879","1 Yes",67,"1 Married - spouse in household"
"2880","2 No",67,"2 Married - spouse not in household"
"2881","1 Yes",59,"5 Divorced"
"2882","1 Yes",44,"5 Divorced"
"2883","1 Yes",52,"5 Divorced"
"2884","1 Yes",35,"1 Married - spouse in household"
"2885","1 Yes",52,"2 Married - spouse not in household"
"2886","1 Yes",57,"9 Unknown marital status"
"2887","1 Yes",74,"4 Widowed"
"2888","1 Yes",66,"1 Married - spouse in household"
"2889","1 Yes",24,"7 Never married"
"2890","1 Yes",54,"7 Never married"
"2891","1 Yes",18,"7 Never married"
"2892","1 Yes",49,"5 Divorced"
"2893","1 Yes",68,"1 Married - spouse in household"
"2894","1 Yes",61,"5 Divorced"
"2895","1 Yes",49,"8 Living with partner"
"2896","1 Yes",31,"2 Married - spouse not in household"
"2897","1 Yes",25,"1 Married - spouse in household"
"2898","1 Yes",42,"8 Living with partner"
"2899","1 Yes",60,"5 Divorced"
"2900","2 No",54,"7 Never married"
"2901","2 No",20,"7 Never married"
"2902","1 Yes",60,"1 Married - spouse in household"
"2903","1 Yes",45,"5 Divorced"
"2904","2 No",19,"7 Never married"
"2905","1 Yes",43,"1 Married - spouse in household"
"2906","2 No",32,"1 Married - spouse in household"
"2907","1 Yes",38,"7 Never married"
"2908","2 No",22,"7 Never married"
"2909","1 Yes",38,"1 Married - spouse in household"
"2910","1 Yes",47,"6 Separated"
"2911","1 Yes",83,"1 Married - spouse in household"
"2912","1 Yes",69,"1 Married - spouse in household"
"2913","1 Yes",38,"1 Married - spouse in household"
"2914","1 Yes",60,"1 Married - spouse in household"
"2915","1 Yes",63,"1 Married - spouse in household"
"2916","1 Yes",56,"7 Never married"
"2917","1 Yes",74,"1 Married - spouse in household"
"2918","1 Yes",53,"1 Married - spouse in household"
"2919","1 Yes",24,"7 Never married"
"2920","1 Yes",34,"7 Never married"
"2921","1 Yes",50,"5 Divorced"
"2922","1 Yes",32,"8 Living with partner"
"2923","1 Yes",79,"4 Widowed"
"2924","2 No",54,"1 Married - spouse in household"
"2925","1 Yes",30,"7 Never married"
"2926","1 Yes",85,"4 Widowed"
"2927","1 Yes",46,"1 Married - spouse in household"
"2928","2 No",37,"1 Married - spouse in household"
"2929","2 No",38,"1 Married - spouse in household"
"2930","1 Yes",57,"5 Divorced"
"2931","1 Yes",74,"4 Widowed"
"2932","1 Yes",30,"1 Married - spouse in household"
"2933","1 Yes",57,"1 Married - spouse in household"
"2934","1 Yes",25,"7 Never married"
"2935","1 Yes",40,"1 Married - spouse in household"
"2936","1 Yes",39,"1 Married - spouse in household"
"2937","1 Yes",65,"7 Never married"
"2938","1 Yes",61,"1 Married - spouse in household"
"2939","1 Yes",45,"5 Divorced"
"2940","1 Yes",82,"1 Married - spouse in household"
"2941","1 Yes",34,"6 Separated"
"2942","1 Yes",52,"8 Living with partner"
"2943","1 Yes",30,"1 Married - spouse in household"
"2944","1 Yes",75,"1 Married - spouse in household"
"2945","1 Yes",26,"7 Never married"
"2946","1 Yes",29,"1 Married - spouse in household"
"2947","1 Yes",34,"1 Married - spouse in household"
"2948","1 Yes",28,"7 Never married"
"2949","1 Yes",59,"1 Married - spouse in household"
"2950","1 Yes",38,"7 Never married"
"2951","1 Yes",46,"7 Never married"
"2952","1 Yes",33,"1 Married - spouse in household"
"2953","1 Yes",49,"1 Married - spouse in household"
"2954","1 Yes",57,"1 Married - spouse in household"
"2955","1 Yes",43,"8 Living with partner"
"2956","1 Yes",72,"5 Divorced"
"2957","1 Yes",46,"7 Never married"
"2958","2 No",18,"7 Never married"
"2959","1 Yes",54,"7 Never married"
"2960","1 Yes",46,"1 Married - spouse in household"
"2961","1 Yes",38,"5 Divorced"
"2962","1 Yes",34,"1 Married - spouse in household"
"2963","2 No",30,"1 Married - spouse in household"
"2964","1 Yes",85,"4 Widowed"
"2965","1 Yes",38,"7 Never married"
"2966","1 Yes",70,"6 Separated"
"2967","1 Yes",55,"1 Married - spouse in household"
"2968","1 Yes",48,"1 Married - spouse in household"
"2969","1 Yes",27,"1 Married - spouse in household"
"2970","1 Yes",50,"5 Divorced"
"2971","2 No",29,"1 Married - spouse in household"
"2972","1 Yes",49,"5 Divorced"
"2973","1 Yes",43,"1 Married - spouse in household"
"2974","1 Yes",34,"7 Never married"
"2975","1 Yes",76,"4 Widowed"
"2976","1 Yes",34,"1 Married - spouse in household"
"2977","1 Yes",62,"1 Married - spouse in household"
"2978","2 No",32,"1 Married - spouse in household"
"2979","1 Yes",66,"5 Divorced"
"2980","1 Yes",54,"5 Divorced"
"2981","1 Yes",66,"1 Married - spouse in household"
"2982","1 Yes",60,"4 Widowed"
"2983","1 Yes",26,"7 Never married"
"2984","1 Yes",29,"1 Married - spouse in household"
"2985","1 Yes",84,"7 Never married"
"2986","1 Yes",35,"7 Never married"
"2987","2 No",32,"1 Married - spouse in household"
"2988","1 Yes",31,"6 Separated"
"2989","1 Yes",72,"4 Widowed"
"2990","1 Yes",61,"1 Married - spouse in household"
"2991","1 Yes",44,"1 Married - spouse in household"
"2992","2 No",18,"7 Never married"
"2993","1 Yes",59,"4 Widowed"
"2994","1 Yes",48,"1 Married - spouse in household"
"2995","1 Yes",57,"1 Married - spouse in household"
"2996","1 Yes",85,"5 Divorced"
"2997","1 Yes",33,"1 Married - spouse in household"
"2998","1 Yes",28,"1 Married - spouse in household"
"2999","1 Yes",67,"1 Married - spouse in household"
"3000","2 No",67,"1 Married - spouse in household"
"3001","1 Yes",55,"1 Married - spouse in household"
"3002","1 Yes",60,"1 Married - spouse in household"
"3003","2 No",34,"7 Never married"
"3004","1 Yes",73,"5 Divorced"
"3005","2 No",42,"1 Married - spouse in household"
"3006","1 Yes",32,"1 Married - spouse in household"
"3007","1 Yes",41,"5 Divorced"
"3008","1 Yes",31,"1 Married - spouse in household"
